,date,ML,Low,High
Alabama,2020-03-13,2.0,0.34,6.43
Alabama,2020-03-14,1.55,0.38,3.29
Alabama,2020-03-15,1.53,0.47000000000000003,2.95
Alabama,2020-03-16,1.5,0.52,2.72
Alabama,2020-03-17,1.6300000000000001,0.67,2.71
Alabama,2020-03-18,1.73,0.8200000000000001,2.66
Alabama,2020-03-19,1.71,0.92,2.56
Alabama,2020-03-20,1.69,0.91,2.48
Alabama,2020-03-21,1.72,1.0,2.43
Alabama,2020-03-22,1.9100000000000001,1.28,2.56
Alabama,2020-03-23,2.08,1.53,2.65
Alabama,2020-03-24,2.12,1.6300000000000001,2.6
Alabama,2020-03-25,2.04,1.6,2.45
Alabama,2020-03-26,1.9100000000000001,1.53,2.29
Alabama,2020-03-27,1.74,1.4000000000000001,2.1
Alabama,2020-03-28,1.57,1.25,1.9000000000000001
Alabama,2020-03-29,1.3800000000000001,1.08,1.7
Alabama,2020-03-30,1.25,0.96,1.56
Alabama,2020-03-31,1.21,0.91,1.49
Alabama,2020-04-01,1.18,0.9,1.47
Alabama,2020-04-02,1.21,0.9500000000000001,1.51
Alabama,2020-04-03,1.25,0.99,1.53
Alabama,2020-04-04,1.3,1.05,1.57
Alabama,2020-04-05,1.36,1.12,1.62
Alabama,2020-04-06,1.4000000000000001,1.17,1.6400000000000001
Alabama,2020-04-07,1.36,1.1400000000000001,1.59
Alabama,2020-04-08,1.35,1.1400000000000001,1.57
Alabama,2020-04-09,1.31,1.11,1.53
Alabama,2020-04-10,1.26,1.05,1.45
Alabama,2020-04-11,1.2,1.0,1.3900000000000001
Alabama,2020-04-12,1.1400000000000001,0.9500000000000001,1.34
Alabama,2020-04-13,1.06,0.86,1.24
Alabama,2020-04-14,1.0,0.81,1.19
Alabama,2020-04-15,0.91,0.73,1.12
Alabama,2020-04-16,0.84,0.65,1.05
Alabama,2020-04-17,0.8,0.6,1.01
Alabama,2020-04-18,0.79,0.59,1.01
Alaska,2020-03-14,2.0,0.34,6.43
Alaska,2020-03-15,1.8800000000000001,0.38,5.01
Alaska,2020-03-16,2.17,0.51,4.99
Alaska,2020-03-17,1.96,0.5,4.24
Alaska,2020-03-18,2.08,0.58,4.09
Alaska,2020-03-19,1.8900000000000001,0.54,3.62
Alaska,2020-03-20,1.93,0.64,3.54
Alaska,2020-03-21,1.8900000000000001,0.2,3.38
Alaska,2020-03-22,2.05,0.51,3.5
Alaska,2020-03-23,1.83,0.44,3.13
Alaska,2020-03-24,1.8900000000000001,0.61,3.0700000000000003
Alaska,2020-03-25,1.81,0.68,2.92
Alaska,2020-03-26,1.74,0.68,2.72
Alaska,2020-03-27,1.57,0.6,2.5
Alaska,2020-03-28,1.44,0.55,2.35
Alaska,2020-03-29,1.25,0.37,2.09
Alaska,2020-03-30,1.1500000000000001,0.28,1.95
Alaska,2020-03-31,1.0,0.17,1.79
Alaska,2020-04-01,0.85,0.06,1.61
Alaska,2020-04-02,0.8,0.04,1.57
Alaska,2020-04-03,0.84,0.05,1.6300000000000001
Alaska,2020-04-04,0.89,0.06,1.69
Alaska,2020-04-05,1.0,0.14,1.85
Alaska,2020-04-06,1.11,0.24,1.99
Alaska,2020-04-07,1.16,0.29,2.0300000000000002
Alaska,2020-04-08,1.2,0.33,2.04
Alaska,2020-04-09,1.1500000000000001,0.28,1.95
Alaska,2020-04-10,1.09,0.28,1.93
Alaska,2020-04-11,1.0,0.19,1.8
Alaska,2020-04-12,0.91,0.11,1.68
Alaska,2020-04-13,0.8,0.05,1.57
Alaska,2020-04-14,0.74,0.02,1.51
Alaska,2020-04-15,0.72,0.01,1.51
